(2023-12-17 00:14:50,386) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 11:59:06,209) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 11:59:06,314) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 11:59:06,427) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 11:59:09,774) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 11:59:09,775) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 11:59:12,973) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 11:59:12,974) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 11:59:15,072) | root| INFO | => Starting a new thread...
(2023-12-21 11:59:20,219) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 11:59:20,312) | root| INFO | => Thread completed
(2023-12-21 12:07:14,650) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:07:14,756) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:07:14,851) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:07:19,195) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:07:19,196) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:07:25,875) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:07:25,876) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:07:29,711) | root| INFO | => Starting a new thread...
(2023-12-21 12:08:27,257) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:08:27,358) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:08:27,459) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:08:31,571) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:08:31,573) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:08:35,061) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:08:35,062) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:08:37,544) | root| INFO | => Starting a new thread...
(2023-12-21 12:08:47,196) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:08:47,303) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:08:47,400) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:08:50,901) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:08:50,903) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:08:52,987) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:08:52,989) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:08:55,559) | root| INFO | => Starting a new thread...
(2023-12-21 12:09:00,743) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:09:00,822) | root| INFO | => Thread completed
(2023-12-21 12:09:06,399) | root| INFO | => Starting a new thread...
(2023-12-21 12:09:11,675) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:09:11,769) | root| INFO | => Thread completed
(2023-12-21 12:09:20,215) | root| INFO | => Starting a new thread...
(2023-12-21 12:09:25,490) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:09:25,571) | root| INFO | => Thread completed
(2023-12-21 12:09:58,866) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:09:58,973) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:09:59,068) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:10:02,563) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:10:02,564) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:10:04,651) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:10:04,652) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:10:08,190) | root| INFO | => Starting a new thread...
(2023-12-21 12:10:13,455) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:10:13,543) | root| INFO | => Thread completed
(2023-12-21 12:10:50,317) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:10:50,432) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:10:50,527) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:10:54,284) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:10:54,285) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:10:56,514) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:10:56,515) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:10:58,910) | root| INFO | => Starting a new thread...
(2023-12-21 12:11:04,201) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:11:04,278) | root| INFO | => Thread completed
(2023-12-21 12:11:11,775) | root| INFO | => Starting a new thread...
(2023-12-21 12:11:15,377) | root| ERROR | => the user didn't select area from the images 
(2023-12-21 12:11:17,102) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:11:17,184) | root| INFO | => Thread completed
(2023-12-21 12:11:21,295) | root| INFO | => Starting a new thread...
(2023-12-21 12:13:13,858) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:13:13,966) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:13:14,060) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:13:17,610) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:13:17,611) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:13:20,157) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:13:20,159) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:13:28,854) | root| INFO | => Starting a new thread...
(2023-12-21 12:13:34,050) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:13:34,124) | root| INFO | => Thread completed
(2023-12-21 12:14:45,231) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:14:45,342) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:14:45,448) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:14:49,459) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:14:49,460) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:14:52,023) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:14:52,024) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:14:53,622) | root| INFO | => Starting a new thread...
(2023-12-21 12:14:58,288) | root| ERROR | => the user didn't select area from the images 
(2023-12-21 12:14:58,824) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:14:58,919) | root| INFO | => Thread completed
(2023-12-21 12:15:01,389) | root| INFO | => Starting a new thread...
(2023-12-21 12:15:01,974) | root| INFO | => Terminating the running thread...
(2023-12-21 12:15:02,540) | root| INFO | => Thread canceled - Remaining time: 4 seconds
(2023-12-21 12:15:02,540) | root| INFO | => Thread terminated.
(2023-12-21 12:15:02,540) | root| INFO | => Starting a new thread...
(2023-12-21 12:15:02,543) | root| ERROR | => the user didn't select area from the images 
(2023-12-21 12:15:02,545) | root| ERROR | => the user didn't select area from the images 
(2023-12-21 12:15:02,548) | root| ERROR | => the user didn't select area from the images 
(2023-12-21 12:15:18,491) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:15:18,601) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:15:18,706) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:15:21,940) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:15:21,942) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:15:24,720) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:15:24,722) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:15:28,333) | root| INFO | => Starting a new thread...
(2023-12-21 12:15:32,991) | root| ERROR | => the user didn't select area from the images 
(2023-12-21 12:15:33,618) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:15:33,696) | root| INFO | => Thread completed
(2023-12-21 12:15:35,341) | root| INFO | => Starting a new thread...
(2023-12-21 12:15:40,622) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:15:40,703) | root| INFO | => Thread completed
(2023-12-21 12:15:47,102) | root| INFO | => Starting a new thread...
(2023-12-21 12:15:52,444) | root| INFO | => the shape of fft_output(1535, 1000)
(2023-12-21 12:31:50,761) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:31:50,859) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:31:50,955) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:31:54,325) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:31:54,326) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:31:56,681) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:31:56,682) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:33:19,941) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:33:20,044) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:33:20,136) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:33:23,159) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:33:23,160) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:33:25,726) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:33:25,727) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:33:28,762) | root| INFO | => Starting a new thread...
(2023-12-21 12:33:33,766) | root| INFO | => the shape of fft_output(0,)
(2023-12-21 12:34:15,298) | root| INFO | => ----------------------the user open the app-------------------------------------
(2023-12-21 12:34:15,410) | qdarkstyle| INFO | => QSS file successfully loaded.
(2023-12-21 12:34:15,504) | qdarkstyle| INFO | => Found application patches to be applied.
(2023-12-21 12:34:18,855) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:34:18,856) | root| INFO | => The size of the image after resizing: (1535, 1000)
(2023-12-21 12:34:21,032) | root| INFO | => The size of the image before resizing: (1535, 1000)
(2023-12-21 12:34:21,033) | root| INFO | => The size of the image after resizing: (1535, 1000)
